Date : 2024-12-13 11:35:04
Directory : c:\Users\yaman\OneDrive\Masaüstü\final-project
Total : 105 files,  14963 codes, 31 comments, 1948 blanks, all 16942 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\DrawerList\DrawerList.tsx                      | TypeScript JSX     |         57 |          0 |          4 |         61 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\FooterPages\AboutUs.tsx                        | TypeScript JSX     |         45 |          0 |          2 |         47 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\FooterPages\ContactUs.tsx                      | TypeScript JSX     |         57 |          0 |          8 |         65 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\FooterPages\SSS.tsx                            | TypeScript JSX     |        133 |          0 |          8 |        141 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\HomePage\HomeComp.tsx                          | TypeScript JSX     |         97 |          0 |          3 |        100 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\MyCart\GuesCartItems.tsx                       | TypeScript JSX     |        117 |          0 |          4 |        121 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\MyCart\UserCart.tsx                            | TypeScript JSX     |        117 |          0 |          3 |        120 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Navbar\CartSection.tsx                         | TypeScript JSX     |         59 |          0 |          5 |         64 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Navbar\MainNavbar.tsx                          | TypeScript JSX     |        154 |          2 |          8 |        164 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Navbar\Navbar.ts                               | TypeScript         |         13 |          0 |          6 |         19 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Navbar\NavbarPopover.tsx                       | TypeScript JSX     |        110 |          0 |          5 |        115 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Navbar\SearchSection.tsx                       | TypeScript JSX     |        228 |          0 |          8 |        236 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Navbar\UserSection.tsx                         | TypeScript JSX     |         98 |          0 |          8 |        106 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\ProductDetails\details.ts                      | TypeScript         |         22 |          0 |          2 |         24 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\ProductDetails\productView.tsx                 | TypeScript JSX     |        512 |          4 |         17 |        533 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Protein\Protein.tsx                            | TypeScript JSX     |        101 |          0 |          5 |        106 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\UseBlaze\SliderComponent.tsx                   | TypeScript JSX     |         92 |          0 |          5 |         97 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\UseBlaze\UseBlazeSlider.tsx                    | TypeScript JSX     |         13 |          1 |          4 |         18 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\payment\addressSection.tsx                     | TypeScript JSX     |        572 |          1 |         13 |        586 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\payment\customAccordion.tsx                    | TypeScript JSX     |         50 |          0 |          3 |         53 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\payment\orderSummary.tsx                       | TypeScript JSX     |        195 |          0 |          5 |        200 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\payment\paymentExtra.tsx                       | TypeScript JSX     |         77 |          0 |          3 |         80 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\payment\paymentSection.tsx                     | TypeScript JSX     |        367 |          0 |          9 |        376 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\payment\paymentSecurity.tsx                    | TypeScript JSX     |         87 |          0 |          4 |         91 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\payment\shippingSections.tsx                   | TypeScript JSX     |         54 |          1 |          4 |         59 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\secondNavbar\DrawerList.tsx                    | TypeScript JSX     |        130 |          0 |         11 |        141 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\secondNavbar\NavbarDrawer.tsx                  | TypeScript JSX     |         55 |          0 |          9 |         64 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\secondNavbar\SearchModal.tsx                   | TypeScript JSX     |        177 |          1 |         12 |        190 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\data\comment-dumy.ts                                      | TypeScript         |        645 |          0 |          3 |        648 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\hooks\alert.tsx                                           | TypeScript JSX     |         32 |          0 |          8 |         40 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\hooks\types.ts                                            | TypeScript         |         59 |          0 |          5 |         64 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\hooks\use-product-variants.ts                             | TypeScript         |         90 |          0 |         15 |        105 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\main.tsx                                                  | TypeScript JSX     |         88 |          1 |          6 |         95 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\pages\Account.tsx                                         | TypeScript JSX     |         62 |          0 |          7 |         69 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\pages\AccountHomePage.tsx                                 | TypeScript JSX     |         84 |          0 |          7 |         91 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\pages\AllProducts.tsx                                     | TypeScript JSX     |         98 |          0 |         12 |        110 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\pages\Categories.tsx                                      | TypeScript JSX     |        207 |          0 |         13 |        220 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\pages\Home.tsx                                            | TypeScript JSX     |        176 |          0 |          5 |        181 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\pages\PaymentPage.tsx                                     | TypeScript JSX     |        188 |          2 |          7 |        197 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\pages\ProductDetails.tsx                                  | TypeScript JSX     |        285 |          1 |         14 |        300 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\pages\ShoppingCart.tsx                                    | TypeScript JSX     |        290 |          1 |         21 |        312 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\services\Count.ts                                         | TypeScript         |         21 |          0 |          3 |         24 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\services\Payement.ts                                      | TypeScript         |         68 |          0 |          3 |         71 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\services\addresDelete.ts                                  | TypeScript         |         25 |          0 |          3 |         28 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\services\allProduct.ts                                    | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\services\api-client.ts                                    | TypeScript         |         41 |          0 |          4 |         45 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\services\lastVisited.ts                                   | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\services\paymentAddress.ts                                | TypeScript         |         38 |          3 |          6 |         47 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\services\storge.ts                                        | TypeScript         |         31 |          0 |          8 |         39 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\services\type.ts                                          | TypeScript         |        329 |          0 |         40 |        369 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\services\updateAccount.ts                                 | TypeScript         |         28 |          0 |          6 |         34 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\services\userCount.ts                                     | TypeScript         |         27 |          0 |          4 |         31 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\store\cartStore.ts                                        | TypeScript         |         30 |          0 |          6 |         36 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\styles\AboutUs\_AboutUs.scss                              | SCSS               |          7 |          0 |          1 |          8 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\styles\Accordion\_accordion.scss                          | SCSS               |         13 |          0 |          2 |         15 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\styles\Account\_myAccount.scss                            | SCSS               |         23 |          0 |          3 |         26 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\styles\Account\_singUp.scss                               | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\styles\Foother\_foother.scss                              | SCSS               |         45 |          2 |          6 |         53 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\styles\HomeStyles\_HomeComp.scss                          | SCSS               |         62 |          0 |          4 |         66 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\styles\HomeStyles\_home.scss                              | SCSS               |         19 |          0 |          2 |         21 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\styles\Navbar\_navbar.scss                                | SCSS               |        181 |          4 |         30 |        215 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\styles\PaymentPage\_paymentPage.scss                      | SCSS               |         23 |          0 |          3 |         26 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\styles\ProductsDetailts\_productdetails.scss              | SCSS               |        193 |          2 |         22 |        217 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\styles\Products\_products.scss                            | SCSS               |        113 |          0 |         15 |        128 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\styles\Slider\_Slider.scss                                | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\styles\evryStyles.scss                                    | SCSS               |         22 |          0 |          8 |         30 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\theme\theme.ts                                            | TypeScript         |         80 |          0 |          2 |         82 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\vite-env.d.ts                                             | TypeScript         |          0 |          1 |          1 |          2 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\tsconfig.json                                                 | JSON with Comments |         24 |          0 |          1 |         25 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\tsconfig.node.json                                            | JSON               |         11 |          0 |          1 |         12 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\tsconfig.node.tsbuildinfo                                     | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\tsconfig.tsbuildinfo                                          | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\vercel.json                                                   | JSON               |          8 |          0 |          1 |          9 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\vite.config.d.ts                                              | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\vite.config.js                                                | JavaScript         |         13 |          1 |          1 |         15 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\vite.config.ts                                                | TypeScript         |         13 |          1 |          2 |         16 |
| Total                                                                                                        |                    |     14,963 |         31 |      1,948 |     16,942 |
+--------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
